Item,Link,Quantity,Price
Hot plate,N/A,1,0
Solder paste,N/A,1,0
Case,N/A,1,0
Soldering iron,N/A,1,0
Acrylic,N/A,1,0
PCB,JLCPCB,1,1.5
Type-C connector,https://lcsc.com/product-detail/USB-Connectors_Korean-Hroparts-Elec-TYPE-C-31-M-12_C165948.html,5,0.87
,,,
Resistors,,,
1.5k?,https://lcsc.com/product-detail/Chip-Resistor-Surface-Mount_UNI-ROYAL-0603WAF1501T5E_C22843.html,100,0.11
5.1k?,https://lcsc.com/product-detail/Chip-Resistor-Surface-Mount_FOJAN-FRC0603F5101TS_C2907044.html,100,0.1
1k?,https://lcsc.com/product-detail/Chip-Resistor-Surface-Mount_YAGEO-RC0603FR-071KL_C22548.html,100,0.11
1.2k?,https://lcsc.com/product-detail/Chip-Resistor-Surface-Mount_FOJAN-FRC0603F1201TS_C2906976.html,100,0.1
100?,https://lcsc.com/product-detail/Chip-Resistor-Surface-Mount_YAGEO-RC0603FR-07100RL_C105588.html,100,0.1
22?,https://lcsc.com/product-detail/Chip-Resistor-Surface-Mount_FOJAN-FRC0603J220-TS_C2907129.html,100,0.08
470?,https://lcsc.com/product-detail/Chip-Resistor-Surface-Mount_FOJAN-FRC0603J471-TS_C2907172.html,100,0.09
4.7k?,https://lcsc.com/product-detail/Chip-Resistor-Surface-Mount_FOJAN-FRC0603J472-TS_C2907166.html,100,0.08
,,,
LED indicator,https://lcsc.com/product-detail/LED-Indication-Discrete_XINGLIGHT-XL-1608SURC-06_C965799.html,100,0.32
WS2812B neopixels,https://lcsc.com/product-detail/RGB-LEDs-Built-in-IC_XINGLIGHT-XL-5050RGBC-WS2812B_C2843785.html,20,0.98
100nf capacitor,https://lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_YAGEO-CC0603KRX7R9BB104_C14663.html,100,0.24
10uf capacitor,https://lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_Samsung-Electro-Mechanics-CL10A106KP8NNNC_C19702.html,20,0.12
3.6V zener diodes,https://lcsc.com/product-detail/Zener-Diodes_Shandong-Jingdao-Microelectronics-1SMA4729A_C438351.html,20,0.69
1x2P pin header,https://lcsc.com/product-detail/Pin-Headers_Megastar-ZX-PZ2-54-1-2PZZ_C7501260.html,20,0.37
ATtiny85-20PU,https://lcsc.com/product-detail/Microcontrollers-MCU-MPU-SOC_Microchip-Tech-ATTINY85-20PU_C965497.html,5,15.49
FS2805A,https://lcsc.com/product-detail/MOSFETs_TECH-PUBLIC-FS8205A_C2830320.html,10,0.45
TP4056,https://lcsc.com/product-detail/Battery-Management_TPOWER-TP4056_C382139.html,5,0.44
DW01A,https://lcsc.com/product-detail/Battery-Management_YONGYUTAI-DW01A_C2927799.html,20,0.49
AMS1117-5.0,https://lcsc.com/product-detail/Voltage-Regulators-Linear-Low-Drop-Out-LDO-Regulators_GOODWORK-AMS1117-5-0_C6068482.html,10,0.38
Push button switch,https://lcsc.com/product-detail/Tactile-Switch-Push-Button-Switch_YIZHI-YZA-072-5-0_C49108658.html,50,0.46
Slide switch,https://lcsc.com/product-detail/Slide-Switches_G-Switch-MK-12C02-G025_C778186.html,5,0.63
LCSC shipping,N/A,1,19.47
,,Total,43.67
