Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",0603,2,100nF,
C3,0603,1,10uF,
"D1, D2, D3, D4",LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,4,WS2812B,
"D5, D6",0603,2,LED,
"D7, D8",D_SMA_Handsoldering,2,3.6 Zener,
"J1, J3, J4",PinHeader_1x02_P2.54mm_Vertical,3,Conn_01x02_Pin,
J2,PinHeader_1x08_P2.54mm_Vertical,1,Conn_01x08_Pin,
"R1, R2, R4",0603,3,1k,
"R10, R9",0603,2,5.1k,
R11,0603,1,10k,
R12,0603,1,470,
R13,0603,1,4.7k,
R3,0603,1,1.2k,
R5,0603,1,100,
"R6, R7",0603,2,22,
R8,0603,1,1.5K,
SW1,SW_SPDT_PCM12,1,SW_SPDT,
SW2,SW_PUSH_6mm,1,SW_Push,
U1,DIP-8_W7.62mm,1,ATtiny85-20P,
U2,TSSOP-8_4.4x3mm_P0.65mm,1,FS8205A,
U3,SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.41x3.3mm,1,TP4056,
U4,SOT-23-6,1,DW01A,
U5,SOT-223-3_TabPin2,1,AMS1117-5.0,
USB1,HRO-TYPE-C-31-M-12,1,HRO-TYPE-C-31-M-12,
